"CREATEUSERID";"TITLE";"ABSTRACT";"TYPDOC"
"Choisy Marc";"rama: an R interface to the GAMA agent-based modeling platform";"Agent-based models (ABM) are discrete-event computer models focusing on the interactions between autonomous entities. The downsides of a high flexibility are that (i) ABM must be defined algorithmically (requiring programming) and (ii) ABM are black-box models, the study of which resort to large numbers of simulations. The GAMA modeling platform offers a user-friendly language (GAML) and environment to develop and efficiently run ABM, potentially in an explicit spatial environment. It lacks, however, the statistical tools to exploit ABM simulations. The rama package is an R interface to GAMA intended to fill this gap. The package defines the S3 class experiment that inherits from the tbl_df class and that is tidyverse compatible. An experiment object is linked to an ABM model defined in a GAML (text) file and contains, for this model, a number of simulations (in rows) that differ by their seed and/or parameters values (in columns). Methods are available to intuitively subset and combine experiment objects, as well as to generate experimental designs for experiment objects. Among them, run_experiment() seamlessly calls the GAMA engine to run the simulations of an experiment object and returns it augmented with a list-column of data frames of time series of the simulations outputs. Simulations outputs can then be analysed in R for model calibration, sensitivity analysis and hypotheses testing.";"lightning talk"
"Trinh Thi Huong";"Assessing impacts of retail supermarkets on the relationship between household food purchase patterns, socioeconomics and demographics Empirical evidence for Vietnam";"Food environments in developing economies are dynamic. Fast paced changes in socio-economic and demographic characteristics of the Vietnamese population, the introduction of retail supermarkets, and a dwindling number of traditional markets will have profound effect on dietary patterns. We re-analyse existing data sources, based on numbers of retail supermarkets (at provincial levels) and household level dietary diversity and dietary quality indices (based on Vietnam Household Living Standard Survey, VHLSS, at household levels), to quantify and compare this relationship between socio-economic characteristics and diets. First, time series clustering analysis is used to classify provinces into three distinct clusters with high (HighSM), low (LowSM) and medium (MediSM) numbers of retail supermarkets. Then, we use Poisson regression and Compositional data analysis (CODA) method to explore the link between socio-economic characteristics and diets, under each supermarket cluster. Results from this re-analysis of accessible administrative data, provides potential intervention opportunities, which will enable ?rewiring? of the local food environment, and address the challenge of double burden of malnutrition in the country. These analysis are based on varous R packages, including TSclust, Sandwich, lmtest, msm, sjPlot, jtools, compositions and robCompositions.";"poster"
"Alimi Eyitayo";"Why you should make Engagement and Retention go side by side.";"Wahoooo! You have built your community, how do you sustain engagement, improve retention and reduce community down time.Some communities have already lost their existence but the Manager still thinks all is well, maybe because people still show up for events or still make comments. When do you know when your community is dead or about dying ? Why don't you have a single Community member be at your side in times of community negativity? How do you detect and revigourate discouraged members? All these and more would be answered as we take a deep dive to help you understand how to ensure your community members are actively participating so it won't stand as a huge impediment on your ROI.";"lightning talk"
"De Valpine Perry";"nCompiler: C++ code-generation from R code";"Many package developers boost performance by coding key steps in C++, using R's C headers and/or Rcpp. The nimble package, predecessor to nCompiler, includes a system for automatic generation of C++ for a core subset of R's math and distribution functions. nimble implements vectorized and recycling-rule operations by code-generating to the Eigen C++ library and automatic differentiation via the CppAD library (in development versions). It includes basic flow control and static data types. However, as a general R programming tool, nimble has design limitations. nCompiler is a new package, designed to be a more general programming tool, with some refactored components from nimble. nCompiler allows definition of classes that mix R and C++ (code-generated or embedded) data and methods as well as pure functions. Much numerical work becomes C++ without coding any C++ by hand. nCompiler plays well with Rcpp and harnesses its compilation tools; harnesses Eigen more deeply, including its Tensor features; supports automatic differentiation via CppAD; and is designed for embedding code in packages, parallelizing, serializing C++ objects, and providing a natural workflow.";"oral presentation"
"Patil Indrajeet";"ggstatsplot: ?ggplot2? Based Plots with Statistical Details. R package version 0.0.9";"ggstatsplot is an extension of ggplot2 package for creating graphics with details from statistical tests included in the plots themselves and targeted primarily at behavioral sciences community to provide a one-line code to produce information-rich plots. In a typical exploratory data analysis workflow, data visualization and statistical modelling are two different phases: visualization informs modelling, and modelling in its turn can suggest a different visualization method, and so on and so forth. The central idea of ggstatsplot is simple: combine these two phases into one in the form of graphics with statistical details, which makes data exploration simpler and faster.";"lightning talk"
"Mckenzie Andy";"A Shiny Web Application To Easily Access Climate Data From An SOS (Sensor Observation Service)";"NIWA (National Institute Of Water and Atmospheric Research) based in NZ have a SOS (Sensor Observation Services) that provides climate and hydrometric data. The sensor and timeseries records from this can be accessed with web requests, though the syntax for this is somewhat arcane. However, the newly updated sos4R package simplifies the syntax, and allows sensor and timeseries records to be accessed with R. Using this package we have developed a Shiny application that allows for the easy selection of climate data by temporal range, site, and location along with associated metadata. We explain what a SOS is, web requests for accessing data, the sos4R package, and how this is all put together in a shiny application.";"oral presentation"
"Talagala Thiyanga";"Feature-based Time Series Forecasting";"This work presents two feature-based forecasting algorithms for large-scale time series forecasting. The algorithms involve computing a range of features of the time series which are then used to select the forecasting model. The forecasting model selection process is carried out using a pre-trained classifier.
In our first algorithm we use a random forest algorithm to train the classifier. We call this framework FFORMS (Feature-based FORecast Model Selection). The second algorithm use efficient Bayesian multivariate surface regression approach to estimate forecast error for each method, and then using the minimum predicted error to select a forecasting model. Both algorithms have been evaluated using time series from the M4 competition, and is shown to yield accurate forecasts comparable to several benchmarks and other commonly used automated approaches in the time series forecasting literature. The methods are made available in the seer and fformpp packages in R.";"oral presentation"
"Quaglieri Anna";"From sequencing to decision making: a suite of R tools to explore RNA-Seq time-course mutation and expression data";"The large amount of bioinformatics results that we produce everyday needs to be efficiently summarised and shared with clinicians and biologists, in order to influence and inform decision making in medical research. When analysing cohorts of relatively small sample sizes (~30 patients) clinicians often need a way to efficiently navigate through a large amount of bioinformatics results for every single patient to investigate mechanisms of response to therapy. Single base mutations, complex insertions and deletions and gene expression data were analysed from the RNA-Seq samples of a cohort of Leukemia patients using several bioinformatics tools, including the R package superFreq (github.com/ChristofferFlensburg/superFreq) and an in-house pipeline developed to call mutations from RNA-Seq (github.com/annaquaglieri16/RNA-seq-variant-calling). The lineplots R package (github.com/annaquaglieri16/lineplots) was created to standardise the mutations outputs. Finally, the Mutexplore R Shiny app was developed to allow researchers and clinicians to explore the large amount of genetic results obtained. The application offers different ways of visualising single patients information and combined views across a cohort of patients. It is available on GitHub (https://github.com/annaquaglieri16/mutexplore) and can be easily adapted or extended to other types of genetic analysis.  ";"oral presentation"
"Talagala Priyanga Dilini";"Anomaly Detection in R";"Anomaly detection problems have many different facets that lead to wide variations in problem formulations. At present, there is a fairly rich variety of R software packages supporting anomaly detection tasks using different analytical techniques. Some of these use an approach to anomaly detection based on a forecast distribution. We locate over 75 R packages with anomaly detection capabilities via a comprehensive online search. We first present a structured and comprehensive discussion on the functionality and capability of these publicly available R packages for anomaly detection. Despite the large number of packages available, there are some anomaly detection challenges that are not supported with existing packages. We reduce this gap by introducing three new R packages for anomaly detection, `oddstream`, `oddwater` and `stray`, with special reference to their capabilities, competitive features and target applications. Package `oddstream` introduces a framework that provides early detection of anomalous behaviours within a large collection of streaming time series. This includes a novel approach that adapts to non-stationarity in the time series. Package `oddwater` provides a framework for early detection of outliers in water-quality data from in situ sensors caused by technical issues. Package `stray` provides a framework to detect anomalies in high dimensional data.";"oral presentation"
"Bengtsson Henrik";"A Future for R: Simplified Parallel and Distributed Processing";"In this talk, I'll present the future framework, how to use it, what is new, and what is on the roadmap. The future ecosystem provides a simple, unified framework for parallel and distributed processing in R. It allows you to ""write parallel code once"" regardless of the operating system and compute environment. At the same time, it allows the user to decide on where and how to parallelize your code. In programming, a 'future' is an abstraction for a value that may be available at some point in the future. The non-blocking nature of futures makes them ideal for asynchronous evaluation of expressions in R, e.g. in parallel on the local machine, on a set of remote machines, via an HPC job scheduler, or in the cloud. At its core, there are two construct: 'f";"oral presentation"
"Welty Leah";"Connecting R/R Markdown and Microsoft Word using StatTag for Collaborative Reproducibility";"Although R Markdown can render documents to Microsoft Word, R/R Markdown users must sometimes transcribe statistical content in to separate Microsoft Word documents (e.g., documents drafted by colleagues in Word, or documents that must be prepared in Word), a process that is error prone, irreproducible, and inefficient. We will present StatTag (www.stattag.org), an open source, free, and user-friendly program we developed to address this problem. StatTag establishes a bi-directional link between R/R Markdown files and a Word document, and supports a reproducible pipeline even when: (1) statistical results must be included and updated in Word documents that were never generated from Markdown; and (2) text in Word files generated from R/R Markdown has departed substantially from original Markdown content, for example through tracked changes or comments. We will demonstrate how to use StatTag to connect R/R Markdown and Word files so that all files can be edited separately, but statistical content ? values, tables, figures, and verbatim output -- can be updated automatically in Word. Using practical examples, we will also illustrate how to use StatTag to view, edit, and rerun R/R Markdown code directly from Word. ";"oral presentation"
"Romanes Sarah";"multiDA and genDA: Discriminant analysis methods for large scale and complex datasets";"Classification problems involving high dimensional data are extensive in many fields such as finance, marketing, and bioinformatics, with unique challenges with such datasets being numerous and well known. We first introduce the R package multiDA (https://github.com/sarahromanes/multiDA), a new method of performing high dimensional discriminant analysis. Starting from multiclass diagonal discriminant analysis classifiers which avoid the problem of high dimensional covariance estimation we construct a hybrid model that seamlessly integrates feature selection components. We compare our method with several other statistical machine learning packages in R, showing marked improvements in regard to prediction accuracy, interpretability of chosen features, and fast run time. We then introduce genDA (in active development), a DA method capable for use in multi-distributional response data - generalising the capabilities of DA beyond Gaussian response. It utilises Generalised Linear Latent Variable Models (GLLVMs) to capture covariance structure between the different response types and provide an efficient classifier for such datasets. This model leverages the highly efficient TMB package in R for fast and accurate gradient calculations in C++.";"oral presentation"
"Obriant Kelly";"Art of the Feature Toggle: Patterns for maintaining and improving Shiny applications over time";"Creating one-off shiny applications is easy to do, but what happens when you need to maintain an application over a longer period of time? How do you introduce new application features to an active user-base without disrupting their experience? These can be difficult questions to answer for data scientists who are unfamiliar with the basic principles of software and web application deployments and release cycles. I'll introduce a few core concepts used in the software development world: environment-based and application-based release patterns, and talk about how we can map those techniques to simpler Shiny application maintenance. Finally, I'll demo a Shiny application that leverages ?session$user? data to mimic feature toggles for the roll-out of a new feature to a set of users.";"oral presentation"
"Granjon David";"A Shiny powered eLearning platform to teach calcium and phosphate homeostasis";"Disturbance of calcium?phosphate (Ca-Pi) homeostasis negatively affects the structure and function of the bones, kidneys, intestine and blood vessels, and may lead to severe morbidities. While it is crucial that medical students understand the corresponding regulatory mechanisms and their interactions, conveying these in a frontal lecture with hard time constraints is rather challenging. We present two web applications for the teaching and exploration of Ca-Pi homeostasis, building upon on a previously published mathematical model. To ensure efficient computations, the model was first translated to C. In parallel, we developed novel user-interfaces with the web-framework R-Shiny, embedding the compiled model outputs in highly coupled modules. The first application explores the fundamentals of Ca-Pi homeostasis, while the second provides interactive case studies for in-depth exploration of the topic, thereby seeking to foster student engagement and an integrative understanding of Ca-Pi regulation. These applications are hosted on RStudio Connect at http://physiol-seafile.uzh.ch.  In conclusion, we showed that R, C and Shiny can be coupled to emulate a real-life environment, thereby providing a promising starting point for future innovative teaching approaches. This project was a unique opportunity to extend the RShiny framework with shinydashboardPlus and bs4Dash.";"poster"
"Selosse Margot";"ordinalClust: an R package for analyzing ordinal data.";"Ordinal data are a specific kind of categorical data occurring when the levels are ordered. They are used in a lot of domains, specifically when measurements are collected from persons by observations, testings, or questionnaires. ordinalClust is an R package that proposes efficient tools for modeling, clustering, co-clustering, and classification for ordinal data. The data are modeled through the BOS distribution, a gaussian-like distribution parameterized with a position and a precision parameter. On one hand, the co-clustering framework uses the Latent Block Model (LBM) and an SEM-Gibbs algorithm for the parameters inference. On the other hand, the clustering and the classification methods follow on from simplified versions of this algorithm. ";"oral presentation"
"Sontrop Herman";"Creating beautiful Shiny apps with Vue, Vuetify and D3";"Shiny is a great platform for making interactive web applications. Most shiny apps are based on the standard Bootstrap 3 theme. Because of this, most apps look very similar. By now though Bootstrap 3 is quite old and new, more powerful frameworks and design philosophies have emerged, such as Material Design by Google. Vue is one of the hottest, most popular of these newer web frameworks. Vue is an incrementally adoptable UI framework that makes it possible to compose your UI via a set of small web components. Vue also makes it quite easy to create your own set of components, from which other, bigger components can be created, much like Shiny modules. One of the reasons Vue is so popular is that it's also quite easy to learn. Fortunately, it's also quite simple to empower Shiny applications with Vue! A popular Vue implementation of Material Design is Vuetify, a UI component framework with over 80 web components. In this talk we show what Vue and Vuetify are and how they can be combined with Shiny to create awesome looking frontends. We also show several examples of how interactive Vue components can be created using the power of d3.js, a popular visualization library and show how these components can work together. Last, we present a showcase that combines the above libraries in an interactive network viewer, using data from Elastic Search and the neo4j Graph engine, all controlled directly from R!";"oral presentation"
"Moritz Steffen";"Experiences from dealing with missing values in sensor time series data";"Sensors are omnipresent in our modern world. From manufacturing industry, finance, up to biology in nearly every domain sensors provide us with essential information. Although everybody seems to be well-equipped with sensors, operating these can be error prone. Especially missing values are a problem often encountered. Since follow-up analysis and processes often require complete data, missing data replacement ('imputation') is needed as a preprocessing step. In this talk we will give insights about our experiences on handling missing data in several industry related projects. We will also give a short introduction to the imputeTS package, which we developed as a result of these experiences.  Imputation itself is a well-established area in statistical surveys and CRAN offers a surprisingly large choice of packages (i.a. 'mice', 'missMDA', 'Amelia'). However, there are differences between imputation for statistical surveys and sensor time series. We will discuss typical problems arising with missing data imputation in sensor time series and also present for which kind of data / missing data patterns / missing data mechanisms imputation proved to be successful. Overall, this talk is supposed to provide a first glance at sensor data imputation in R along with giving an introduction to the imputeTS package.";"oral presentation"
"Li Angela";"Teaching reproducible spatial analysis in R";"In this talk we will discuss a workshop taught to social scientists and econometricians at the Center for Spatial Data Science at the University of Chicago with little to no background in spatial data or programming. Unlike a conventional spatial statistics or analysis course, the workshop integrated learning to code in R with learning to think spatially. Researchers learned how to explore, manipulate, and visualize spatial data using recently-developed spatial packages in R, while at the same time learning habits for project management and reproducible research. This talk discusses pitfalls and success stories from the workshop, along with considerations when putting together a spatial data curriculum in R. It describes how teaching researchers led to increased programming literacy among researchers, as well as contributions to open source spatial packages. Finally, it puts forth suggestions for a spatial data curriculum that can be shared openly to teach spatial thinking in R worldwide.";"lightning talk"
"Sasso-Schafer Katie";"Photon : Building an electron-shiny app using a simple RStudio add in.";"Have you ever wanted to deliver your model and Shiny application to someone that can't allow their data to leave their computer, or to deliver your Shiny application as a quick prototype that a user could use as a simple Desktop application without deploying over the Internet? Last year at useR! 2018 Katie Sasso showed how to do so by building an Electron-Shiny executable, which allows you to deliver your Shiny app as a Desktop application (https://www.youtube.com/watch?v=ARrbbviGvjc).  This year Abbas Rizvi is going to take it a step further and show a super easy was to use a newly available RStudio Add-In that makes the process super simple and convenient. RStudio Add-Ins allow the IDE to be extended and customized, creating automated and faster work streams. (https://www.rstudio.com/resources/webinars/understanding-add-ins/). After this talk you will be able to create a Windows or Mac Desktop Shiny App with a few simple clicks of the RStudio Add-in.";"lightning talk"
"Campos Gabriela";"Unlocking Brazilian elections - CEPESPData packahe";"Brazilian electoral data can be confusing and hard to work with, both for foreign and Brazilian researchers. The data is provided by Brazilian Electoral Supreme Court (TSE) in multiple datasets separated by year, state and theme. As a consequence, simple questions such as ""How many votes did women have to the house of representatives?"" can take hours of programming to answer. This means lesser transparency on elections. CEPESPData (cepesp.io) was developed by the Center of Politics and Economics of the Public Sector at the Getulio Vargas Foundation (CEPESP-FGV) with support from the São Paulo Research Foundation (FAPESP) and the Brazilian Electoral Supreme Court (TSE) to handle this problem. All databases found in CepespData were originally made available by the TSE. In order to assure data integrity, all procedures to clean and process the data are registered on GitHub (available at https://github.com/Cepesp-Fgv). These procedures, for example, correct repetitions and inconsistencies that exist in TSE's original databases and makes it possible to join mutiple databases. CepespData inovation is the user friendly API entirely developed in R that can be used for mutiple applications through which the data is delivered and the graphical and user friendly interface of cepesp.io that also feature Shinny based apps to help vizualize the data.";"poster"
"Louveaux Marion";"Tools for 3D/4D interactive visualisation of cells and biological tissue";"Modern microscopy techniques allow to image a high number of biological samples (cells, tissues, whole organs and organisms). Some tools even allow to follow a sample over time. Image processing techniques can extract many information from the images about biological objects (number, location in 2D or 3D space and time, biological status, shape...). Analysis of such biological data is facing to two main challenges: the need to take into account the spatial and temporal context of each piece of information, and the need to gather and compare many images pre-processed with multiple softwares from many samples. The R package {cellviz3d} (https://github.com/marionlouveaux/cellviz3d) is a wrapper on the {plotly} package to help visualization of meshes and points structures in 2D, 3D and 3D+time of one or several samples. Data can be extracted directly from images in R or with image analyses softwares like Image/Fiji or MorphoGraphX. Typical use cases that will be presented in this talk are the visualization of the surface of a biological tissue or the visualization of nuclei. Data presented will be data outputs read with packages like {mgx2r}, which bridges MorphoGraphX with R, or {mamut2r}, which bridges MaMut Fiji plugin with R, both available on GitHub (@marionlouveaux).";"lightning talk"
"Wojcik Piotr";"Measuring inequalities from space. Analysis of satellite raster images with R";"Data on night-time light intensity is increasingly used by social science researchers as a proxy for economic development. Calculated from weather satellite recordings, it provides annual data for the whole globe in gridded format with pixels covering less than one square kilometer. This allows researchers to aggregate these data at the level of subnational units and analyze it together with other socio-economic indicators. Satellite images are freely available as large raster files. The aim of this presentation is to show how to analyze these data step by step in R ? starting from importing the data to R, then correctly imposing a map of a selected area (e.g. shapefile) on the raster object, limiting the satellite image to the selected spatial extent and finally aggregating the data for the analyzed territorial units and visualizing the result. In addition, correlation between night-time light intensity and selected socio-economic indicators (e.g. population, GDP) will be analyzed for world countries, US states and UE regions (NUTS2 and NUTS3). R packages: dplyr, sf, raster, ggplot2, leaflet, WDI, eurostat";"lightning talk"
"Goyal Savin";"Machine Learning Infrastructure at Netflix";"At Netflix, our data scientists apply machine learning to an ever-increasing range of business problems, from title popularity predictions to quality of streaming optimizations. However, building and operating production grade machine-learning systems is a highly non-trivial endeavor requiring expertise in two highly evolved disciplines: systems engineering and ML. To empower our data scientists to be able to build, deploy and operate machine learning solutions without any external support, we provide a robust infrastructure for machine learning, ensuring models can be promoted quickly and reliably from prototype to production, and enabling reproducible and easily shareable results. Given the breadth of techniques and the state-of-the-art algorithms available within the R ecosystem, a significant fraction of our data scientists, prefer R as their lingua franca, necessitating the need to provide first-class infrastructure support in R. In this talk, we introduce the techniques and underlying principles driving our approach with a particular focus on models written in R. We talk about Metaflow, our human-centric machine learning infrastructure, which enables our users to iterate on their machine learning pipelines quickly by leveraging existing libraries and familiar abstractions.";"oral presentation"
"Valentin Todorov";"Monitoring robust estimates with dynamic graphics in R";"The forward search for multivariate analysis is an algorithm for avoiding outliers by recursively constructing subsets of good observations. The underlying idea can be extended to many other robust techniques like S- and MM-estimates. Through this approach, monitoring of robust estimates computed over a range of key parameter values, which is a technique advocated in a number of recent articles, the diagnostic tools of choice can be tuned in such a way that highly robust estimators which are as efficient as possible are obtained. These tools are available already for quite some time in the MATLAB FSDA (Flexible Statistics for Data Analysis) toolbox which has evolved into a comprehensive software package for robust statistics. Now the functionality of FSDA is made available for R users through the CRAN package ?fsdaR' which implements an R interface to a MATLAB engine running in the background. Such a technical solution is made possible by the MATLAB Runtime which allows running compiled MATLAB applications on computers that do not have MATLAB installed. A serious challenge is the design and implementation of the interface (the function calls) in a way acceptable for an R user. To illustrate the monitoring of robust estimates for multivariate analysis we start with a simple example and then analyze a real life data set presenting the technological structure of manufactured exports.";"lightning talk"
"Sauder CÃ©cile";"BibliographeR : a set of tools to help your bibliographic research";"The number of scientific articles is constantly increasing. It is sometimes impossible to read all the articles in certain areas. Among this great diversity of articles, some may be more interesting than others. It is difficult to select which articles are essential in a field. The contemporary way to judge the scientific quality of an article is to use the impact factor or the number of citations. However, these parameters may lead to a lack of certain articles that are not very well cited but are very innovative. It is therefore essential to ask the question of what makes an article fundamental in a field. Using the ""fulltext"" package in our Shiny web application we show how the analysis of a bibliography using a network is a good way to visualize the state of the art in a field.  We  searched for different parameters to judge scientific quality using data science approaches. Recent research has shown that the work of small research teams can lead to scientific innovations. In this sense, the analysis of scientific articles by global techniques could play an important role in the discovery of these advances.  ";"lightning talk"
"Sindelar Stepan";"FastRCluster: running FastR from GNU-R";"FastR is an open source alternative R implementation that aims to be compatible with GNU-R, provide significantly faster execution of R code, and high-performance interoperability with other languages including Python. Although FastR can run complex R packages including Rcpp, dplyr or ggplot2, achieving near full compatibility with GNU-R is still work in progress. However, there is already a lot that FastR can offer, but switching completely to FastR may look like a big step. The goal of FastRCluster is to provide the intermediate ground and let the GNU-R users easily try FastR and/or use FastR to run only selected parts of their apps. FastRCluster is an R package, targeted at GNU-R, that provides a seamless way to run FastR inside GNU-R using the existing interface of the parallel package, which also integrates well with the future and promise packages. The talk will, for example, present how FastRCluster can be leveraged in the context of Shiny applications.";"oral presentation"
"Sindelar Stepan";"Mixed interactive debugging of R and native code with FastR and Vistual Studio Code";"Interactive debuggers are one of the most useful tools to aid software development. The two most used approaches for interactive debugging in the R ecosystem, the built-in debugger and R Studio, do not support interactive debugging of both R and C code of R packages at the same time and in one tool. FastR is an open source alternative R implementation that, apart from being compatible with GNU-R, puts emphasis on the performance of R execution and tooling support. FastR is part of the multilingual virtual machine (GraalVM) that, among other things, provides language agnostic support for interactive debugging. One of the other projects built on top of GraalVM is a C/C++ interpreter. FastR can be configured to run the native code of selected R packages using this C/C++ interpreter, which should yield the same behavior, but since both languages are now running in one system, it opens up many exciting possibilities including seamless cross-language debugging. In the talk, we will demonstrate how to configure Visual Studio Code and FastR for cross-language interactive debugging and how to debug a sample R package with native code.";"oral presentation"
"Hocking Toby";"Fast and Optimal Peak Detection in Large Genomic Data via the PeakSegDisk Package";"We describe a new algorithm and R package for peak detection in genomic data sets using constrained optimal changepoint algorithms. These detect changes from background to peak regions by imposing the constraint that the mean should alternately increase then decrease. An existing algorithm for this problem exists, and gives state-of-the-art accuracy results, but it is computationally expensive when the number of changes is large. We propose an algorithm with empirical O(N log N) time complexity that jointly estimates the number of peaks and their locations by globally minimizing a non-convex penalized cost function. We also propose a sequential search algorithm that finds the best solution with K segments in O(N log(N) log(K)) time, which is much faster than the previous O(K N log N) algorithm. Our empirical results show that our disk-based implementation in the PeakSegDisk R package can be used to quickly compute constrained optimal models with many changepoints, which are needed to analyze typical genomic data sets that have tens of millions of observations. ";"oral presentation"
"Schalk Daniel";"compboost: Fast and Flexible Component-Wise Boosting Framework";"In high-dimensional prediction problems, especially in the case where the number of features exceeds the number of observations, feature selection is an essential and often required tool. Component-wise gradient boosting is a modelling technique which provides embedded feature selection for additive statistical models. It allows automatic and unbiased selection of ensemble components from a pool of - often univariate - base learners. Boosting these kinds of models maintains interpretability of effects.  The R package compboost implements component-wise boosting in C++ and Rcpp. It provides a modular object-oriented system which can be extended either in R for convenient prototyping or directly in C++ for optimized speed, the latter at runtime without full recompilation of the framework. The package also allows visual inspection and selection of effects, feature importance, risk behaviour and optimal number of iterations. In contrast to the well-known mboost package, compboost is more suitable for larger datasets and also easier to extend, whereas compboost currently lacks some of the large functionality mboost provides.  Project page: https://github.com/schalkdaniel/compboost";"oral presentation"
"Au Quay";"fxtract - Feature Extraction from Grouped Data";"Researchers and practitioners nowadays have access to large longitudinal datasets. These datasets often need to be aggregated by groups in order to be utilized in statistical analyses or machine learning models, and to enable better understanding by users. Especially for large datasets, this process can be difficult and is often prone to errors.  We present the package ""fxtract"", which provides an easy to use API to facilitate the extraction of user-defined features from grouped data. Similar to the summarize-functionality of the dplyr package, our package helps reducing multiple rows of data into one row for each group. fxtract offers easy manageability of large datasets, since data for each group is only read into memory when needed. The package is written in R6 and parallelization is supported by using the R-Package future.   Project page: https://github.com/QuayAu/fxtract";"lightning talk"
"Kettunen Henna";"Teaching data analysis with R as a part of an upper secondary school science project";"We taught basics of data analysis with R to a group of 24 mathematically gifted Finnish upper secondary students during a summer school week in June 2018. Our purpose was to pilot data analysis education at upper secondary school level, as the students increasingly need these skills in their post-secondary studies. Data analysis teaching was integrated to a field biology project, in which the students collected and analyzed an empirical data set, and wrote a short report on their findings. The main method used for data analysis was linear regression modeling. A guest lecturer with a data analyst background was responsible for teaching data analysis and the use of R during the course.
 
 The first course day was dedicated to learning basics of data analysis and R. Students were eager to learn R, but reported having found this 8-hour day too intensive. On next day, the students collected an empirical data set on tree height and environmental factors potentially affecting it. They analyzed the collected data in small groups at their own pace over the next few days, and showed motivation towards analyzing their own data. Everybody managed to do the analysis and reporting tasks required for completing the project course. Some students even continued learning independently more advanced data analysis methods afterwards, winning a local science fair competition with a random forest model for tree height.";"poster"
"Yen Chia-Yi";"A new best practice in style? A computational analysis of the dynamics of R style based on 94 million lines of code from all CRAN packages in the past 20 years";"The coexistence of multiple programming styles confuses new users and makes enforcing best practice difficult. This problem is aggravated by the lack of a universally accepted style guide in the R community. To investigate that, we quantified the programming style variation (PSV) in all CRAN packages and observed an emerging consensus in style since 2016, as indicated by the dampened increasing trend in PSV. It seems that a new consensus-based best practice is forming, which is a mixture of various R style guides. Concretely, we summarized the ?ins & outs? of different styles based on popularity across years (e.g., rapid rise of underscore_fun_name and fall of dotted.fun.name since 2013) and pointed out the least agreed style elements (e.g., -> v.s. =, space after a comma). Moreover, we identified a source of PSV (the ?Naughty, Naughty!?) by looking into the style differences between clusters of related packages (e.g., Finance v.s. Biostatistics). Our analysis raises an open question to all stakeholders of the R community, i.e., the R Foundation, opinion leaders, package developers, and ordinary users: should we adopt an official R style guide as in the case of Python's PEP8? The findings from this study validate the R community's effort in reducing PSV and suggest future directions.";"poster"
"Quiroga Riva";"Translating datasets using ""datalang"": the development of ""datos"" package for the R4DS Spanish translation";"Not mastering English language can be a very high entrance barrier for people who want to learn how to program, specially in contexts like Latin America, where learning English is not accessible to everyone due to socioeconomic inequalities.  The aim of this talk is to present the collaborative translation to Spanish of ?R for Data Science? (Whickham & Grolemund, 2017), a project that the Latin American R community is currently leading as a way to shorten this linguistic gap. Unlike other translations, this one not only considers translating the text to Spanish, but also the datasets and part of the code used in the book. After briefly describing the general context of the project, the presentation will focus on how we developed ?datos? (Ruiz, Quiroga, Vargas & Lepore, 2019; https://cienciadedatos.github.io/datos/), the package that contains the R4DS datasets translated. The talk will present the motivations to develop this package, the workflow used for programatically translate the datasets using ?datalang? package (Ruiz, 2018; https://github.com/edgararuiz/datalang), and the challenges we have faced. Opportunities for other non-English speaking R communities will be discussed.";"oral presentation"
"De Los Santos Hannah";"mwshiny: Connecting Shiny Across Multiple Windows";"We present mwshiny, a package that extends Shiny applications across multiple windows. Shiny lets R users develop interactive applications, alleviating the need for web development languages. Increasingly, users have access to multi-monitor system configurations; further, with Shiny apps hosted online, the possibility of a remote controller driving a visualization-focused monitor provides another necessity for a multi-window environment. Using mwshiny, users set up the interface and functionality of these multi-window applications by using Shiny's familiar syntax and conventions. By elegantly utilizing Shiny's reactive structure, we break down app development into a simple workflow with three parts: user interface development, server computation, and server output. We demonstrate this workflow through three case studies, including the aforementioned multi-monitor and controller-driving situations, in which we focus on population dynamics and cultural awareness, respectively. We also show mwshiny as applied to an immersive healthcare visualization; the Rensselaer Campfire, a new interface designed for group interaction, consists of two connected monitors in the form of a cylindrical fire pit, as well as an outside controller. These case studies show the impact of mwshiny as we move into a future with ever more immersive applications and structures.";"oral presentation"
"Battauz Michela";"Regularized estimation of the nominal response model";"The nominal response model is an Item Response Theory (IRT) for polytomous items model that does not require a predetermined order of the response categories. While providing a very flexible modeling approach, it involves the estimation of many parameters at the risk of numerical instability and overfitting. The lasso is a technique widely used to achieve model selection and regularization. In this talk, we propose the use of a fused lasso penalty to group response categories and perform regularization. An adaptive version of the penalty is also considered. Simulation studies show that the proposal is quite effective in grouping the response categories, thus leading to a more parsimonious model. A remarkable advantage of the procedure is the reduction of both bias and root mean square error in small samples, while no difference is observed in large samples. An application to TIMSS data will illustrate the method. The R package regIRT (available at https://github.com/micbtz/regIRT) implements the methods.  ";"oral presentation"
